Ex-Div Date,Pay Date,Type,Amount,Currency,Status
07 Mar 2012,02 Apr 2012,Quarterly,28c,USD,Paid
06 Jun 2012,02 Jul 2012,Quarterly,30c,USD,Paid
05 Sep 2012,01 Oct 2012,Quarterly,30c,USD,Paid
05 Dec 2012,27 Dec 2012,Quarterly,30c,USD,Paid
06 Mar 2013,01 Apr 2013,Quarterly,30c,USD,Paid
05 Jun 2013,01 Jul 2013,Quarterly,31c,USD,Paid
04 Sep 2013,01 Oct 2013,Quarterly,31c,USD,Paid
04 Dec 2013,02 Jan 2014,Quarterly,31c,USD,Paid
05 Mar 2014,01 Apr 2014,Quarterly,31c,USD,Paid
04 Jun 2014,01 Jul 2014,Quarterly,33c,USD,Paid
03 Sep 2014,01 Oct 2014,Quarterly,33c,USD,Paid
03 Dec 2014,01 Jan 2015,Quarterly,33c,USD,Paid
04 Mar 2015,01 Apr 2015,Quarterly,33c,USD,Paid
03 Jun 2015,01 Jul 2015,Quarterly,36c,USD,Paid
02 Sep 2015,01 Oct 2015,Quarterly,36c,USD,Paid
02 Dec 2015,01 Jan 2016,Quarterly,36c,USD,Paid
02 Mar 2016,01 Apr 2016,Quarterly,36c,USD,Paid
01 Jun 2016,01 Jul 2016,Quarterly,36c,USD,Paid
31 Aug 2016,01 Oct 2016,Quarterly,38c,USD,Paid
30 Nov 2016,01 Jan 2017,Quarterly,38c,USD,Paid
01 Mar 2017,01 Apr 2017,Quarterly,38c,USD,Paid
31 May 2017,01 Jul 2017,Quarterly,38c,USD,Paid
30 Aug 2017,01 Oct 2017,Quarterly,42c,USD,Paid
30 Nov 2017,01 Jan 2018,Quarterly,42c,USD,Paid
08 Mar 2018,01 Apr 2018,Quarterly,42c,USD,Paid
07 Jun 2018,01 Jul 2018,Quarterly,42c,USD,Paid
13 Sep 2018,01 Oct 2018,Quarterly,55c,USD,Paid
13 Dec 2018,01 Jan 2019,Quarterly,55c,USD,Paid
07 Mar 2019,01 Apr 2019,Quarterly,60c,USD,Paid
13 Jun 2019,01 Jul 2019,Quarterly,60c,USD,Paid
12 Sep 2019,01 Oct 2019,Quarterly,70c,USD,Paid
12 Dec 2019,01 Jan 2020,Quarterly,70c,USD,Paid
12 Mar 2020,01 Apr 2020,Quarterly,70c,USD,Paid
11 Jun 2020,01 Jul 2020,Quarterly,70c,USD,Paid
10 Sep 2020,01 Oct 2020,Quarterly,70c,USD,Declared
