Ex-Div Date,Pay Date,Type,Amount,Currency,Status
31 Dec 2006,31 Dec 2006,Final,116c,USD,Paid
31 Dec 2007,31 Dec 2007,Final,142.5c,USD,Paid
31 Dec 2008,31 Dec 2008,Final,165c,USD,Paid
31 Dec 2009,31 Dec 2009,Final,177.5c,USD,Paid
05 Mar 2010,31 Mar 2010,Quarterly,45c,USD,Paid
04 Jun 2010,30 Jul 2010,Quarterly,48c,USD,Paid
03 Sep 2010,30 Sep 2010,Quarterly,48c,USD,Paid
03 Dec 2010,03 Jan 2011,Quarterly,48c,USD,Paid
04 Mar 2011,31 Mar 2011,Quarterly,48c,USD,Paid
03 Jun 2011,30 Jun 2011,Quarterly,51.5c,USD,Paid
02 Sep 2011,30 Sep 2011,Quarterly,51.5c,USD,Paid
02 Dec 2011,03 Jan 2012,Quarterly,51.5c,USD,Paid
29 Feb 2012,30 Mar 2012,Quarterly,51.5c,USD,Paid
30 May 2012,29 Jun 2012,Quarterly,53.75c,USD,Paid
05 Sep 2012,28 Sep 2012,Quarterly,53.75c,USD,Paid
05 Dec 2012,02 Jan 2013,Quarterly,53.75c,USD,Paid
27 Feb 2013,29 Mar 2013,Quarterly,53.75c,USD,Paid
05 Jun 2013,28 Jun 2013,Quarterly,56.75c,USD,Paid
04 Sep 2013,30 Sep 2013,Quarterly,56.75c,USD,Paid
04 Dec 2013,02 Jan 2014,Quarterly,56.75c,USD,Paid
05 Mar 2014,31 Mar 2014,Quarterly,56.75c,USD,Paid
04 Jun 2014,30 Jun 2014,Quarterly,65.5c,USD,Paid
03 Sep 2014,30 Sep 2014,Quarterly,65.5c,USD,Paid
03 Dec 2014,07 Jan 2015,Quarterly,65.5c,USD,Paid
04 Mar 2015,31 Mar 2015,Quarterly,65.5c,USD,Paid
03 Jun 2015,30 Jun 2015,Quarterly,70.25c,USD,Paid
02 Sep 2015,30 Sep 2015,Quarterly,70.25c,USD,Paid
02 Dec 2015,07 Jan 2016,Quarterly,70.25c,USD,Paid
02 Mar 2016,31 Mar 2016,Quarterly,70.25c,USD,Paid
01 Jun 2016,30 Jun 2016,Quarterly,75.25c,USD,Paid
31 Aug 2016,30 Sep 2016,Quarterly,75.25c,USD,Paid
30 Nov 2016,06 Jan 2017,Quarterly,75.25c,USD,Paid
01 Mar 2017,31 Mar 2017,Quarterly,75.25c,USD,Paid
31 May 2017,30 Jun 2017,Quarterly,80.5c,USD,Paid
30 Aug 2017,29 Sep 2017,Quarterly,80.5c,USD,Paid
30 Nov 2017,08 Jan 2018,Quarterly,80.5c,USD,Paid
01 Mar 2018,30 Mar 2018,Quarterly,80.5c,USD,Paid
31 May 2018,29 Jun 2018,Quarterly,92.75c,USD,Paid
06 Sep 2018,28 Sep 2018,Quarterly,92.75c,USD,Paid
06 Dec 2018,07 Jan 2019,Quarterly,92.75c,USD,Paid
28 Feb 2019,29 Mar 2019,Quarterly,92.75c,USD,Paid
06 Jun 2019,28 Jun 2019,Quarterly,95.5c,USD,Paid
05 Sep 2019,30 Sep 2019,Quarterly,95.5c,USD,Paid
05 Dec 2019,07 Jan 2020,Quarterly,95.5c,USD,Paid
05 Mar 2020,31 Mar 2020,Quarterly,95.5c,USD,Paid
04 Jun 2020,30 Jun 2020,Quarterly,102.25c,USD,Paid
03 Sep 2020,30 Sep 2020,Quarterly,102.25c,USD,Declared
